Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging?,General Comments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID
pick up the blue block to your right in between the green and yellow block,Configuration_11_v2.png,human,4,0:00:58.181932,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up the orange blck to your left that is right above the green and yellow block.,Configuration_5_v1.png,human,4,0:03:04.454716,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up blue block that is to your left just above the blue block on the bottom row,Configuration_2_v2.png,human,2,0:07:58.718077,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up second blue block top row next to other blue block to your left,Configuration_12_v1.png,human,2,0:08:16.299140,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
Look for 3 green blocks in a row to your right touching each other and pick up the one to your left in that group,Configuration_8_v2.png,human,2,0:01:04.006465,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up green block closest to you,Configuration_3_v1.png,human,5,0:00:31.406119,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
"to your left look for row that goes blue block and 2 yellow blocks and 2 green blocks, pick up the yellow block in between the bottom yellow and the green block",Configuration_13_v2.png,human,2,0:05:27.946974,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up the blue block to your far right,Configuration_14_v1.png,human,5,0:00:28.186554,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up green block in the middle below orange blocks,Configuration_6_v2.png,human,4,0:00:45.410727,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up outside blue block to your far left above yellow block and below green block,Configuration_7_v1.png,human,5,0:00:50.175090,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up green block bottom row far right,Configuration_9_v2.png,human,5,0:00:25.737861,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up only yellow block,Configuration_1_v1.png,human,5,0:00:19.232301,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up orange block far right above yellow block and below blue block,Configuration_10_v2.png,human,5,0:00:36.943272,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
pick up yellow block far right in between 2 blue blocks,Configuration_4_v1.png,human,2,0:01:00.256582,no strategy ,Very challenging with several colored blocks,none,55,female,medical coder, ,Right,1,1,1,5,5,no,223
There are three adjacent green adjacent blocks near the center of the pile. Pick up the green block to the left side of the row.,Configuration_8_v2.png,robot,4,0:01:27.202287, , , , , , , , , , , , , , ,28
"On the left side of the pile, there is a yellow block surrounded by three green blocks and one blue block. Pick up this yellow block.",Configuration_11_v1.png,robot,4,0:01:11.042454, , , , , , , , , , , , , , ,28
"On your left side, there are three blue blocks that are very close. Pick up the one on the right of this group.",Configuration_2_v2.png,robot,4,0:00:50.979340, , , , , , , , , , , , , , ,28
There's two blue blocks on the table. Pick up the one to your left.,Configuration_7_v1.png,robot,5,0:00:35.666214, , , , , , , , , , , , , , ,28
Pick up the yellow block that is the farthest from you. It's next to two tan blocks.,Configuration_5_v2.png,robot,4,0:00:45.658259, , , , , , , , , , , , , , ,28
Oh the right side there are two yellow blocks that are almost directly between two blue blocks. Pick up the yellow block on the right side that's touching the blue block.,Configuration_4_v1.png,robot,3,0:01:18.896563, , , , , , , , , , , , , , ,28
In the middle of the pile there are four yellow blocks. Pick the one that is further away on the left side.,Configuration_13_v2.png,robot,4,0:00:47.536174, , , , , , , , , , , , , , ,28
There are a lot of blue blocks on the table. Pick up the on the right that is touching a yellow block.,Configuration_14_v1.png,robot,4,0:00:50.717678, , , , , , , , , , , , , , ,28
Pick up the green block in the center of the pile. There will be two tan blocks lined up with it. There will also be five green blocks to the left and one green block to the right leftover.,Configuration_6_v2.png,robot,3,0:01:11.701065, , , , , , , , , , , , , , ,28
Pick up the green block that is closest to you.,Configuration_3_v1.png,robot,5,0:00:25.952607, , , , , , , , , , , , , , ,28
Pick up the green block that is closest to you and slightly to the right of a yellow block.,Configuration_9_v2.png,robot,4,0:00:35.536550, , , , , , , , , , , , , , ,28
Pick up the yellow block.,Configuration_1_v1.png,robot,5,0:00:15.590152, , , , , , , , , , , , , , ,28
There are two blue blocks next to each other and are the blocks furthest away from you. Pick up the blue block on the right side.,Configuration_12_v2.png,robot,3,0:01:02.268893, , , , , , , , , , , , , , ,28
Pick up the tan block that is the furthest away on the left.,Configuration_10_v1.png,robot,4,0:00:24.790890, , , , , , , , , , , , , , ,28
Pick up the yellow block closest to me which is in front of the two orange blocks,Configuration_5_v2.png,human,5,0:00:47.852882,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
pick up the blue block that's furthest to your left.,Configuration_7_v1.png,human,5,0:00:55.519820,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
Pick up the green cube directly behind the yellow cube that's closest to me. There's two green cubes to the right of the one you should pick up.,Configuration_8_v2.png,human,5,0:01:00.085549,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
Pick up the green cube in the middle of the group of 5 green cubes to your left.,Configuration_6_v1.png,human,5,0:00:42.430738,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
Pick up the blue cube closest to me on your right.,Configuration_12_v2.png,human,5,0:00:25.648393,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
pick up the green cube closest to me that's between the orange and yellow cubes,Configuration_9_v1.png,human,5,0:00:34.854120,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
pick up the yellow cube that's touching the green cube but not the yellow cube that's closest to me!,Configuration_13_v2.png,human,5,0:00:55.808429,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
pick up the orange cube that's closest to me and also furthest away from you on your left,Configuration_10_v1.png,human,5,0:00:30.435558,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
pick up the green cube closest to you,Configuration_1_v2.png,human,5,0:00:19.662401,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
pick up the green cube closest to you that's just behind the yellow cube.,Configuration_3_v1.png,human,5,0:00:21.727437,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
"look on your right, you'll see an orange cube, then a yellow cube, then another yellow cube. Pick up that second yellow cube.",Configuration_4_v2.png,human,5,0:00:47.036678,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
pick up the blue cube furthest to your right,Configuration_14_v1.png,human,5,0:00:19.433489,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
pick up the blue cube furthest to your right,Configuration_11_v2.png,human,5,0:00:18.742651,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
pick up the blue cube which is closest to you but also next to an orange cube and another blue cube.,Configuration_2_v1.png,human,4,0:01:27.239621,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
Take the yellow block that touches a green block and other yellow blocks.,Configuration_13_v2.png,robot,3,0:00:37.915443,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the yellow block that is surrounded by blocks on all sides.,Configuration_11_v1.png,robot,2,0:00:36.481454,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the blue block right behind the green block that is directly in front of you.,Configuration_14_v2.png,robot,2,0:00:26.073502,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the orange block that is all the way on the right.,Configuration_10_v1.png,robot,3,0:00:13.713299,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the green block nearest to you.,Configuration_9_v2.png,robot,4,0:00:12.095159,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the yellow block that is surrounded on all four sides by other blocks.,Configuration_4_v1.png,robot,2,0:00:39.173209,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the green block that is closest to you.,Configuration_1_v2.png,robot,5,0:00:10.330838,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the blue block on the right.,Configuration_7_v1.png,robot,5,0:00:10.073643,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the green block that has two orange blocks behind it.,Configuration_6_v2.png,robot,4,0:00:14.920404,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the blue block that touches the orange block.,Configuration_2_v1.png,robot,5,0:00:29.038664,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the green block that has a yellow block behind it.,Configuration_8_v2.png,robot,5,0:00:12.216938,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the green block closer to you.,Configuration_3_v1.png,robot,,0:00:07.588437,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the yellow block way in the back.,Configuration_5_v2.png,robot,5,0:00:09.780810,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Take the blue block in the back that is next to another blue block.,Configuration_12_v1.png,robot,4,0:00:13.168825,I tried to find the easiest and most concise explanation I could think of. ,"It got pretty tough. Sometimes, the focus block was not situated in a way that was easy to describe in words. ",,33,male,,>20,Right,1,3,3,6,1,I had a friend who built a battlebot years ago and I played with it some. ,94
Pick up the nearest blue block.,Configuration_11_v2.png,robot,4,0:00:15.121076,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick up the second block from the left.,Configuration_2_v1.png,robot,3,0:00:21.775434,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick up the green block farthest away from you.,Configuration_3_v2.png,robot,5,0:00:16.152544,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick up the green block from the middle. The second one.,Configuration_8_v1.png,robot,1,0:00:26.106002,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick the blue block farthest away from you.,Configuration_12_v2.png,robot,4,0:00:16.628667,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick up the green block farthest away from you.,Configuration_9_v1.png,robot,5,0:00:13.270516,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick the green block that is in the middle of the other green blocks.,Configuration_7_v2.png,robot,4,0:00:26.324481,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Get the yellow block.,Configuration_1_v1.png,robot,5,0:02:31.193402,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick the second block from the left.,Configuration_6_v2.png,robot,4,0:00:22.780460,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick the farthest orange block from you.,Configuration_10_v1.png,robot,5,0:00:12.495707,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick the second blue block closest to you.,Configuration_14_v2.png,robot,3,0:00:16.415094,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Get the yellow block that is on the right of you and the second farthest one away from you.,Configuration_4_v1.png,robot,1,0:00:42.259587,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick the yellow block farthest away from you.,Configuration_5_v2.png,robot,5,0:00:13.143952,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
pick the orange block closest to you.,Configuration_13_v1.png,robot,5,0:00:17.194959,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick up the blue block that is farthest from you.,Configuration_12_v2.png,robot,,0:00:56.436042,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Pick up the yellow block.,Configuration_1_v1.png,robot,5,0:00:16.121111,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Pick up the yellow block that is farthest from you.,Configuration_5_v2.png,robot,4,0:00:27.406400,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Pick up the orange block that is the closest to you of the three orange blocks.,Configuration_13_v1.png,robot,3,0:00:47.152215,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Pick up the green block that is behind the two yellow blocks.,Configuration_6_v2.png,robot,3,0:01:17.028721,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
"Find the two green blocks that are touching each other and arranged in a straight line.  Of those two, pick up the green block on your left.",Configuration_8_v1.png,robot,2,0:02:26.371923,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Find the two blue blocks on the table.  Pick up the right-most one.,Configuration_11_v2.png,robot,2,0:00:57.453933,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
"Find all the blue blocks.  Now, pick up the blue block that is the right-most.",Configuration_14_v1.png,robot,2,0:00:50.877126,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Pick up the orange block that is closer to you than all the other orange blocks.,Configuration_10_v2.png,robot,3,0:00:32.862456,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Pick up the green block that is farther from you than all the other green blocks.,Configuration_9_v1.png,robot,3,0:00:28.536735,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Pick up the green block that is farther from you  than the other green block.,Configuration_3_v2.png,robot,3,0:00:27.975587,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
"Find the two yellow blocks that are in between two blue blocks. Of those two yellow blocks, pick up the one on your right.",Configuration_4_v1.png,robot,1,0:02:02.414064,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
"Find the green block that is farthest from you. Now, pick up the green block that is just in front of that far green block.",Configuration_7_v2.png,robot,2,0:00:55.193429,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
"Find three blue blocks that are adjacent to one another. Now, pick up the central blue block of those three.",Configuration_2_v1.png,robot,1,0:00:50.878282,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10-15,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Pick up the leftmost green block.,Configuration_7_v2.png,robot,5,0:00:17.615848,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the yellow block surrounded by green blocks.,Configuration_11_v1.png,robot,5,0:00:18.235853,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the closest orange block.,Configuration_10_v2.png,robot,5,0:00:15.522412,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the closest green block.,Configuration_3_v1.png,robot,5,0:00:11.413689,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the furthest yellow block.,Configuration_5_v2.png,robot,5,0:00:09.529094,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the rightmost block,Configuration_1_v1.png,robot,5,0:00:32.872104,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the block furthest from you.,Configuration_12_v2.png,robot,5,0:00:07.612029,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the yellow block next to the rightmost blue block.,Configuration_4_v1.png,robot,,0:00:19.611265,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the closest blue block which is directly in front of you.,Configuration_14_v2.png,robot,4,0:00:23.925674,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the green block which is surrounded by green blocks on all sides.,Configuration_6_v1.png,robot,4,0:00:15.295119,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the closest green block.,Configuration_9_v2.png,robot,5,0:00:11.311327,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the closest orange block.,Configuration_13_v1.png,robot,5,0:00:10.273616,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the green block that has a yellow block directly behind it.,Configuration_8_v2.png,robot,4,0:00:24.522259,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
Pick up the blue block that is in between a yellow and an orange block.,Configuration_2_v1.png,robot,3,0:00:48.495173,I tried to be as direct as possible. ,Most of them were pretty easy. I had no trouble with any of them. ,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all. ,58
